Date,Campaign,Campaign Type,Creative Format,Region,Country,Impressions,Clicks,CTR,Frequency,Reach,Spends,CPC,CPM,Views,Completion Rate,CPCV,CPS,Conversions,Revenue,ROAS,Viewability
9-Oct-25,DanubeH_Awareness_UAQ-Display_HTML_GARDEN_Oct25,Awareness,HTML,Umm Al Quwain,United Arab Emirates,"7,882",34,0.43%,2.95,"2,675",55.17,1.62,7,,,,,,,,89.75%
9-Oct-25,DanubeH_Awareness_Ajman_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ajman,United Arab Emirates,"5,208",25,0.48%,2.84,"1,833",36.46,1.46,7,,,,,,,,90.74%
9-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Abu Dhabi,United Arab Emirates,"19,826",91,0.46%,2.86,"6,941",138.78,1.53,7,,,,,,,,91.77%
9-Oct-25,DanubeH_Awareness_RAK_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ras Al Khaimah,United Arab Emirates,"1,795",7,0.39%,3.00,598,12.57,1.8,7,,,,,,,,89.96%
9-Oct-25,DanubeH_Awareness_Fujairah_Display-CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Fujairah,United Arab Emirates,476,2,0.42%,2.98,160,3.33,1.67,7,,,,,,,,91.50%
9-Oct-25,DanubeH_Awareness_UAQ-Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Umm Al Quwain,United Arab Emirates,"1,750",7,0.40%,2.98,587,12.25,1.75,7,,,,,,,,89.47%
9-Oct-25,DanubeH_Awareness_Ajman_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ajman,United Arab Emirates,"6,745",29,0.43%,3.01,"2,244",47.22,1.63,7,,,,,,,,89.52%
10-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_HTML_GARDEN_Oct25,Awareness,HTML,Abu Dhabi,United Arab Emirates,"115,391",756,0.66%,2.95,"39,116",807.74,1.07,7,,,,,,,,91.15%
10-Oct-25,DanubeH_Awareness_RAK_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ras Al Khaimah,United Arab Emirates,"5,798",32,0.55%,2.94,"1,972",40.59,1.27,7,,,,,,,,91.81%
10-Oct-25,DanubeH_Awareness_Fujairah_Display-HTML_GARDEN_Oct25,Awareness,HTML,Fujairah,United Arab Emirates,"16,024",66,0.41%,2.97,"5,395",112.17,1.7,7,,,,,,,,90.12%
10-Oct-25,DanubeH_Awareness_UAQ-Display_HTML_GARDEN_Oct25,Awareness,HTML,Umm Al Quwain,United Arab Emirates,"7,297",29,0.40%,2.98,"2,449",51.08,1.76,7,,,,,,,,89.04%
10-Oct-25,DanubeH_Awareness_Ajman_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ajman,United Arab Emirates,"6,105",35,0.57%,3.05,"2,002",42.74,1.22,7,,,,,,,,90.11%
10-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Abu Dhabi,United Arab Emirates,"55,802",348,0.62%,2.95,"18,916",390.61,1.12,7,,,,,,,,90.04%
10-Oct-25,DanubeH_Awareness_RAK_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ras Al Khaimah,United Arab Emirates,"3,294",17,0.52%,2.94,"1,120",23.06,1.36,7,,,,,,,,91.95%
10-Oct-25,DanubeH_Awareness_Fujairah_Display-CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Fujairah,United Arab Emirates,"5,555",23,0.41%,2.97,"1,870",38.89,1.69,7,,,,,,,,89.33%
10-Oct-25,DanubeH_Awareness_UAQ-Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Umm Al Quwain,United Arab Emirates,"1,983",7,0.35%,2.89,686,13.88,1.98,7,,,,,,,,91.93%
10-Oct-25,DanubeH_Awareness_Ajman_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ajman,United Arab Emirates,"11,667",66,0.57%,2.91,"4,009",81.67,1.24,7,,,,,,,,89.83%
11-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_HTML_GARDEN_Oct25,Awareness,HTML,Abu Dhabi,United Arab Emirates,"80,965",541,0.67%,2.95,"27,446",566.76,1.05,7,,,,,,,,90.84%
11-Oct-25,DanubeH_Awareness_RAK_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ras Al Khaimah,United Arab Emirates,"6,419",25,0.39%,2.94,"2,183",44.93,1.8,7,,,,,,,,91.79%
11-Oct-25,DanubeH_Awareness_Fujairah_Display-HTML_GARDEN_Oct25,Awareness,HTML,Fujairah,United Arab Emirates,"12,089",57,0.47%,2.97,"4,070",84.62,1.48,7,,,,,,,,90.17%
11-Oct-25,DanubeH_Awareness_UAQ-Display_HTML_GARDEN_Oct25,Awareness,HTML,Umm Al Quwain,United Arab Emirates,"8,764",40,0.46%,2.98,"2,941",61.35,1.53,7,,,,,,,,91.66%
11-Oct-25,DanubeH_Awareness_Ajman_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ajman,United Arab Emirates,"6,875",36,0.52%,3.05,"2,254",48.13,1.34,7,,,,,,,,90.77%
11-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Abu Dhabi,United Arab Emirates,"38,856",235,0.60%,2.95,"13,172",271.99,1.16,7,,,,,,,,90.09%
11-Oct-25,DanubeH_Awareness_RAK_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ras Al Khaimah,United Arab Emirates,"3,715",14,0.38%,2.94,"1,264",26.01,1.86,7,,,,,,,,89.44%
11-Oct-25,DanubeH_Awareness_Fujairah_Display-CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Fujairah,United Arab Emirates,"4,242",21,0.50%,2.97,"1,428",29.69,1.41,7,,,,,,,,89.94%
11-Oct-25,DanubeH_Awareness_UAQ-Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Umm Al Quwain,United Arab Emirates,"2,400",10,0.42%,2.89,830,16.8,1.68,7,,,,,,,,91.48%
11-Oct-25,DanubeH_Awareness_Ajman_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ajman,United Arab Emirates,"13,081",66,0.50%,2.91,"4,495",91.57,1.39,7,,,,,,,,89.32%
12-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_HTML_GARDEN_Oct25,Awareness,HTML,Abu Dhabi,United Arab Emirates,"58,980",452,0.77%,2.95,"19,993",412.86,0.91,7,,,,,,,,89.25%
12-Oct-25,DanubeH_Awareness_RAK_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ras Al Khaimah,United Arab Emirates,"6,552",28,0.43%,2.94,"2,229",45.86,1.64,7,,,,,,,,89.43%
12-Oct-25,DanubeH_Awareness_Fujairah_Display-HTML_GARDEN_Oct25,Awareness,HTML,Fujairah,United Arab Emirates,"13,294",79,0.59%,2.97,"4,476",93.06,1.18,7,,,,,,,,90.18%
12-Oct-25,DanubeH_Awareness_UAQ-Display_HTML_GARDEN_Oct25,Awareness,HTML,Umm Al Quwain,United Arab Emirates,"11,814",81,0.69%,2.98,"3,964",82.7,1.02,7,,,,,,,,90.88%
12-Oct-25,DanubeH_Awareness_Ajman_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ajman,United Arab Emirates,"6,775",42,0.62%,3.05,"2,221",47.43,1.13,7,,,,,,,,89.86%
12-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Abu Dhabi,United Arab Emirates,"31,534",203,0.64%,2.95,"10,689",220.74,1.09,7,,,,,,,,90.06%
12-Oct-25,DanubeH_Awareness_RAK_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ras Al Khaimah,United Arab Emirates,"3,759",15,0.40%,2.94,"1,279",26.31,1.75,7,,,,,,,,90.78%
12-Oct-25,DanubeH_Awareness_Fujairah_Display-CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Fujairah,United Arab Emirates,"4,518",27,0.60%,2.97,"1,521",31.63,1.17,7,,,,,,,,91.93%
12-Oct-25,DanubeH_Awareness_UAQ-Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Umm Al Quwain,United Arab Emirates,"3,311",19,0.57%,2.89,"1,146",23.18,1.22,7,,,,,,,,90.75%
12-Oct-25,DanubeH_Awareness_Ajman_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ajman,United Arab Emirates,"12,703",82,0.65%,2.91,"4,365",88.92,1.08,7,,,,,,,,89.08%
13-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_HTML_GARDEN_Oct25,Awareness,HTML,Abu Dhabi,United Arab Emirates,"43,226",268,0.62%,2.74,"15,766",302.58,1.13,7,,,,,,,,90.42%
13-Oct-25,DanubeH_Awareness_RAK_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ras Al Khaimah,United Arab Emirates,"8,409",37,0.44%,3.12,"2,693",58.86,1.59,7,,,,,,,,89.71%
13-Oct-25,DanubeH_Awareness_Fujairah_Display-HTML_GARDEN_Oct25,Awareness,HTML,Fujairah,United Arab Emirates,"8,696",40,0.46%,2.32,"3,743",60.87,1.52,7,,,,,,,,89.12%
13-Oct-25,DanubeH_Awareness_UAQ-Display_HTML_GARDEN_Oct25,Awareness,HTML,Umm Al Quwain,United Arab Emirates,"10,000",48,0.48%,2.69,"3,716",70,1.46,7,,,,,,,,89.24%
13-Oct-25,DanubeH_Awareness_Ajman_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ajman,United Arab Emirates,"6,863",35,0.51%,2.99,"2,295",48.04,1.37,7,,,,,,,,90.13%
13-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Abu Dhabi,United Arab Emirates,"37,586",218,0.58%,3.11,"12,089",263.1,1.21,7,,,,,,,,91.25%
13-Oct-25,DanubeH_Awareness_RAK_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ras Al Khaimah,United Arab Emirates,"1,429",6,0.42%,2.76,518,10,1.67,7,,,,,,,,90.27%
13-Oct-25,DanubeH_Awareness_Fujairah_Display-CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Fujairah,United Arab Emirates,"4,792",23,0.48%,2.76,"1,736",33.54,1.46,7,,,,,,,,90.01%
13-Oct-25,DanubeH_Awareness_UAQ-Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Umm Al Quwain,United Arab Emirates,"2,667",12,0.45%,3.06,871,18.67,1.56,7,,,,,,,,90.35%
13-Oct-25,DanubeH_Awareness_Ajman_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ajman,United Arab Emirates,"7,593",41,0.54%,3.43,"2,216",53.15,1.3,7,,,,,,,,90.88%
14-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_HTML_GARDEN_Oct25,Awareness,HTML,Abu Dhabi,United Arab Emirates,"47,419",294,0.62%,3.49,"13,602",331.93,1.13,7,,,,,,,,91.90%
14-Oct-25,DanubeH_Awareness_RAK_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ras Al Khaimah,United Arab Emirates,"6,462",40,0.62%,2.87,"2,249",45.23,1.13,7,,,,,,,,91.83%
14-Oct-25,DanubeH_Awareness_Fujairah_Display-HTML_GARDEN_Oct25,Awareness,HTML,Fujairah,United Arab Emirates,"6,920",49,0.71%,3.16,"2,190",48.44,0.99,7,,,,,,,,89.28%
14-Oct-25,DanubeH_Awareness_UAQ-Display_HTML_GARDEN_Oct25,Awareness,HTML,Umm Al Quwain,United Arab Emirates,"5,753",34,0.59%,3.15,"1,827",40.27,1.18,7,,,,,,,,89.30%
14-Oct-25,DanubeH_Awareness_Ajman_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ajman,United Arab Emirates,"4,117",21,0.51%,2.69,"1,531",28.82,1.37,7,,,,,,,,90.67%
14-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Abu Dhabi,United Arab Emirates,"39,225",300,0.76%,2.69,"14,600",274.58,0.92,7,,,,,,,,89.46%
14-Oct-25,DanubeH_Awareness_RAK_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ras Al Khaimah,United Arab Emirates,"4,038",32,0.79%,3.23,"1,250",28.27,0.88,7,,,,,,,,91.62%
14-Oct-25,DanubeH_Awareness_Fujairah_Display-CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Fujairah,United Arab Emirates,"5,485",29,0.53%,3.07,"1,786",38.4,1.32,7,,,,,,,,90.55%
14-Oct-25,DanubeH_Awareness_UAQ-Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Umm Al Quwain,United Arab Emirates,"2,634",15,0.57%,2.88,914,18.44,1.23,7,,,,,,,,90.22%
14-Oct-25,DanubeH_Awareness_Ajman_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ajman,United Arab Emirates,"5,555",30,0.54%,2.98,"1,864",38.89,1.3,7,,,,,,,,91.73%
15-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_HTML_GARDEN_Oct25,Awareness,HTML,Abu Dhabi,United Arab Emirates,"19,678",122,0.62%,2.71,"7,251",137.75,1.13,7,,,,,,,,91.53%
15-Oct-25,DanubeH_Awareness_RAK_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ras Al Khaimah,United Arab Emirates,"47,974",263,0.55%,2.93,"16,384",335.82,1.28,7,,,,,,,,91.06%
15-Oct-25,DanubeH_Awareness_Fujairah_Display-HTML_GARDEN_Oct25,Awareness,HTML,Fujairah,United Arab Emirates,"2,436",47,1.93%,97.44,25,17.05,0.36,7,,,,,,,,89.19%
15-Oct-25,DanubeH_Awareness_UAQ-Display_HTML_GARDEN_Oct25,Awareness,HTML,Umm Al Quwain,United Arab Emirates,"3,573",31,0.87%,2.45,"1,458",25.01,0.81,7,,,,,,,,90.54%
15-Oct-25,DanubeH_Awareness_Ajman_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ajman,United Arab Emirates,"1,388",21,1.51%,1.46,950,9.72,0.46,7,,,,,,,,89.41%
15-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Abu Dhabi,United Arab Emirates,"15,296",119,0.78%,3.10,"4,938",107.07,0.9,7,,,,,,,,89.79%
15-Oct-25,DanubeH_Awareness_RAK_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ras Al Khaimah,United Arab Emirates,"39,879",217,0.54%,2.98,"13,403",279.15,1.29,7,,,,,,,,89.14%
15-Oct-25,DanubeH_Awareness_Fujairah_Display-CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Fujairah,United Arab Emirates,"5,957",39,0.65%,3.01,"1,982",41.7,1.07,7,,,,,,,,91.56%
15-Oct-25,DanubeH_Awareness_UAQ-Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Umm Al Quwain,United Arab Emirates,"3,101",24,0.77%,2.99,"1,036",21.71,0.9,7,,,,,,,,89.86%
15-Oct-25,DanubeH_Awareness_Ajman_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ajman,United Arab Emirates,"1,852",10,0.54%,2.21,837,12.96,1.3,7,,,,,,,,90.75%
16-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_HTML_GARDEN_Oct25,Awareness,HTML,Abu Dhabi,United Arab Emirates,"12,419",77,0.62%,4.34,"2,863",86.93,1.13,7,,,,,,,,90.45%
16-Oct-25,DanubeH_Awareness_RAK_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ras Al Khaimah,United Arab Emirates,"48,235",349,0.72%,2.97,"16,229",337.65,0.97,7,,,,,,,,90.21%
16-Oct-25,DanubeH_Awareness_Fujairah_Display-HTML_GARDEN_Oct25,Awareness,HTML,Fujairah,United Arab Emirates,"13,160",109,0.83%,2.64,"4,979",92.12,0.85,7,,,,,,,,89.24%
16-Oct-25,DanubeH_Awareness_UAQ-Display_HTML_GARDEN_Oct25,Awareness,HTML,Umm Al Quwain,United Arab Emirates,"4,956",47,0.95%,3.05,"1,623",34.69,0.74,7,,,,,,,,89.62%
16-Oct-25,DanubeH_Awareness_Ajman_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ajman,United Arab Emirates,"6,037",32,0.53%,3.89,"1,550",42.26,1.32,7,,,,,,,,91.31%
16-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Abu Dhabi,United Arab Emirates,"35,646",221,0.62%,3.01,"11,826",249.52,1.13,7,,,,,,,,89.45%
16-Oct-25,DanubeH_Awareness_RAK_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ras Al Khaimah,United Arab Emirates,"1,503",20,1.33%,2.98,504,10.52,0.53,7,,,,,,,,90.77%
16-Oct-25,DanubeH_Awareness_Fujairah_Display-CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Fujairah,United Arab Emirates,"3,201",31,0.97%,2.48,"1,289",22.41,0.72,7,,,,,,,,91.92%
16-Oct-25,DanubeH_Awareness_UAQ-Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Umm Al Quwain,United Arab Emirates,228,5,2.19%,1.87,122,1.6,0.32,7.02,,,,,,,,91.59%
16-Oct-25,DanubeH_Awareness_Ajman_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ajman,United Arab Emirates,"1,216",13,1.07%,2.95,412,8.51,0.65,7,,,,,,,,89.45%
17-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_HTML_GARDEN_Oct25,Awareness,HTML,Abu Dhabi,United Arab Emirates,"52,761",367,0.70%,2.90,"18,180",369.33,1.01,7,,,,,,,,91.25%
17-Oct-25,DanubeH_Awareness_RAK_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ras Al Khaimah,United Arab Emirates,"49,529",294,0.59%,2.98,"16,611",346.7,1.18,7,,,,,,,,91.69%
17-Oct-25,DanubeH_Awareness_Fujairah_Display-HTML_GARDEN_Oct25,Awareness,HTML,Fujairah,United Arab Emirates,"26,556",156,0.59%,2.92,"9,086",185.89,1.19,7,,,,,,,,90.57%
17-Oct-25,DanubeH_Awareness_UAQ-Display_HTML_GARDEN_Oct25,Awareness,HTML,Umm Al Quwain,United Arab Emirates,"11,797",62,0.53%,3.16,"3,733",82.58,1.33,7,,,,,,,,89.75%
17-Oct-25,DanubeH_Awareness_Ajman_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ajman,United Arab Emirates,"7,786",50,0.64%,2.81,"2,766",54.5,1.09,7,,,,,,,,91.82%
17-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Abu Dhabi,United Arab Emirates,"34,127",218,0.64%,3.07,"11,101",238.89,1.1,7,,,,,,,,91.29%
17-Oct-25,DanubeH_Awareness_RAK_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ras Al Khaimah,United Arab Emirates,"39,679",229,0.58%,2.96,"13,421",277.75,1.21,7,,,,,,,,91.90%
17-Oct-25,DanubeH_Awareness_Fujairah_Display-CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Fujairah,United Arab Emirates,"19,373",108,0.56%,2.98,"6,504",135.61,1.26,7,,,,,,,,91.14%
17-Oct-25,DanubeH_Awareness_UAQ-Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Umm Al Quwain,United Arab Emirates,"9,858",55,0.56%,3.07,"3,206",69.01,1.25,7,,,,,,,,89.16%
17-Oct-25,DanubeH_Awareness_Ajman_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Ajman,United Arab Emirates,"1,234",16,1.30%,3.00,411,8.64,0.54,7,,,,,,,,90.57%
18-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_HTML_GARDEN_Oct25,Awareness,HTML,Abu Dhabi,United Arab Emirates,"34,522",248,0.72%,2.85,"12,108",241.65,0.97,7,,,,,,,,89.78%
18-Oct-25,DanubeH_Awareness_RAK_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ras Al Khaimah,United Arab Emirates,"32,407",199,0.61%,2.93,"11,063",226.85,1.14,7,,,,,,,,90.01%
18-Oct-25,DanubeH_Awareness_Fujairah_Display-HTML_GARDEN_Oct25,Awareness,HTML,Fujairah,United Arab Emirates,"17,376",106,0.61%,2.87,"6,051",121.63,1.15,7,,,,,,,,89.13%
18-Oct-25,DanubeH_Awareness_UAQ-Display_HTML_GARDEN_Oct25,Awareness,HTML,Umm Al Quwain,United Arab Emirates,"7,719",42,0.54%,3.10,"2,486",54.03,1.29,7,,,,,,,,91.81%
18-Oct-25,DanubeH_Awareness_Ajman_Display_HTML_GARDEN_Oct25,Awareness,HTML,Ajman,United Arab Emirates,"5,094",34,0.67%,2.77,"1,842",35.66,1.05,7,,,,,,,,89.76%
18-Oct-25,DanubeH_Awareness_Abu DhabiDhabi_Display_CaRest Of United Arab Emiratessel_GARDEN_Oct25,Awareness,Carousel,Abu Dhabi,United Arab Emirates,"22,330",148,0.66%,3.02,"7,393",156.31,1.06,7,,,,,,,,90.51%
